epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.4268,1.57242,4.2172,1.35322,0.00232,0.33333,0.23606,0.20915,1.07646,4.2742,1.03611,4.287e-05,4.287e-05,4.287e-05
2,18.4598,1.60093,4.32511,1.46026,0.00284,0.33333,0.33167,0.30124,0.95885,4.19398,1.06795,9.90397e-05,9.90397e-05,9.90397e-05
3,27.2929,1.44693,3.5758,1.29548,0.0027,0.33333,0.33167,0.28513,0.99356,4.05199,1.06588,0.000154078,0.000154078,0.000154078
4,36.0362,1.22031,3.28863,1.18053,0.00264,0.4273,0.33198,0.31178,0.83512,3.84471,0.91529,0.000207984,0.000207984,0.000207984
5,44.6712,1.23592,2.81819,1.14076,0.00241,0.33333,0.33167,0.30431,0.74449,3.81182,0.86741,0.000260758,0.000260758,0.000260758
6,53.2671,1.2237,2.39522,1.11226,0.00258,0.33333,0.33167,0.30486,0.78778,3.75758,0.88851,0.000312401,0.000312401,0.000312401
7,62.0677,1.09918,2.31913,1.03971,0.00334,0.4,0.33224,0.28522,0.93727,3.73175,0.9137,0.000362912,0.000362912,0.000362912
8,70.9215,1.17376,2.29243,1.05866,1,0.21603,0.60014,0.45297,0.84953,3.54623,0.85585,0.000412291,0.000412291,0.000412291
9,79.693,1.2193,1.99827,1.05053,1,0.35432,0.81123,0.59952,0.83607,3.28441,0.85105,0.000460538,0.000460538,0.000460538
10,88.4718,1.10749,1.91371,1.02982,1,0.21313,0.95056,0.74605,0.74484,3.44955,0.82687,0.000507654,0.000507654,0.000507654
11,97.2981,1.03072,1.9244,1.00943,1,0.28615,0.76327,0.57,0.82967,3.56871,0.87232,0.000553637,0.000553637,0.000553637
12,105.897,1.107,1.86464,1.02304,1,0.39113,0.995,0.72874,0.76664,3.29821,0.82184,0.000598489,0.000598489,0.000598489
13,114.619,0.93101,1.47068,0.94624,0.00503,1,0.995,0.81405,0.68622,3.28286,0.78545,0.00064221,0.00064221,0.00064221
