epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6268,1.16592,4.18811,1.02714,0.00321,0.25996,0.11577,0.0988,0.91145,4.32352,0.93235,0.00016008,0.00016008,0.00016008
2,117.088,0.98984,2.77674,0.93702,0.0084,0.61405,0.20936,0.17273,0.88261,3.69993,0.94016,0.000323594,0.000323594,0.000323594
3,173.337,0.91157,2.05545,0.90239,0.9792,0.06835,0.37487,0.29126,0.86273,3.47954,0.96193,0.000483807,0.000483807,0.000483807
4,228.315,0.83803,1.45735,0.90154,0.82608,0.39155,0.56798,0.43611,0.87976,2.59925,1.0079,0.000640718,0.000640718,0.000640718
5,283.644,0.83602,1.22227,0.89906,0.74083,0.6478,0.74926,0.54719,0.89794,1.88481,1.04678,0.000640587,0.000640587,0.000640587
6,338.932,0.80954,1.01434,0.89392,0.74654,0.69658,0.8086,0.61637,0.87746,1.66671,1.04826,0.000633983,0.000633983,0.000633983
7,402.151,0.80494,0.89769,0.89807,0.71116,0.76113,0.84724,0.63771,0.87098,1.55241,1.03177,0.00062738,0.00062738,0.00062738
8,482.877,0.80643,0.86033,0.90575,0.7722,0.81793,0.87196,0.66673,0.90061,1.27899,1.06199,0.000620777,0.000620777,0.000620777
9,557.46,0.78429,0.80144,0.89668,0.73435,0.90392,0.89672,0.6981,0.89723,1.20745,1.06895,0.000614174,0.000614174,0.000614174
10,633.565,0.76167,0.77691,0.87759,0.75212,0.83139,0.89382,0.68617,0.85417,1.22272,1.02078,0.00060757,0.00060757,0.00060757
11,709.197,0.76163,0.75333,0.89379,0.84167,0.88545,0.90923,0.71719,0.84381,1.06989,1.01924,0.000600967,0.000600967,0.000600967
12,785.824,0.75805,0.71438,0.88747,0.81771,0.93327,0.90706,0.70522,0.8866,1.12728,1.05619,0.000594364,0.000594364,0.000594364
13,862.743,0.76552,0.7192,0.88916,0.83488,0.92877,0.94208,0.74415,0.82636,1.13841,1.0074,0.00058776,0.00058776,0.00058776
14,938.859,0.7697,0.69967,0.88759,0.79293,0.92431,0.91663,0.71636,0.83866,1.11012,1.02268,0.000581157,0.000581157,0.000581157
15,1015.35,0.75885,0.67339,0.88716,0.82709,0.92121,0.90639,0.7016,0.89428,1.12768,1.05997,0.000574554,0.000574554,0.000574554
16,1091.92,0.7507,0.67265,0.87863,0.90762,0.9276,0.95877,0.74943,0.89161,1.00027,1.05839,0.00056795,0.00056795,0.00056795
17,1168.35,0.74524,0.66819,0.88671,0.89418,0.93985,0.93809,0.74921,0.83417,0.9728,1.01186,0.000561347,0.000561347,0.000561347
18,1245.58,0.7486,0.64208,0.88138,0.88805,0.9695,0.95998,0.74877,0.83832,0.91593,1.0162,0.000554744,0.000554744,0.000554744
19,1322.53,0.70569,0.6109,0.86857,0.89116,0.94773,0.94347,0.74353,0.83808,0.92122,1.02275,0.000548141,0.000548141,0.000548141
20,1398.87,0.7109,0.59743,0.86533,0.90754,0.95855,0.96653,0.74945,0.851,0.97595,1.02064,0.000541537,0.000541537,0.000541537
21,1475.31,0.73597,0.61764,0.88106,0.85649,0.94731,0.93347,0.71669,0.85339,0.9592,1.01037,0.000534934,0.000534934,0.000534934
22,1551.17,0.73646,0.60262,0.87904,0.89852,0.94749,0.95349,0.74271,0.83078,0.84778,1.01117,0.000528331,0.000528331,0.000528331
23,1626.88,0.7276,0.57464,0.8696,0.8895,0.95726,0.93651,0.76388,0.82053,0.85995,1.01108,0.000521727,0.000521727,0.000521727
24,1702.33,0.72888,0.57666,0.87352,0.84003,0.95196,0.92603,0.73425,0.79179,0.93023,0.99285,0.000515124,0.000515124,0.000515124
25,1776.61,0.69626,0.5715,0.86197,0.89894,0.96251,0.9489,0.75358,0.79815,0.85237,0.9964,0.000508521,0.000508521,0.000508521
26,1851.47,0.71591,0.5673,0.87238,0.90146,0.94694,0.9544,0.75802,0.83385,0.83481,1.01404,0.000501917,0.000501917,0.000501917
27,1925.71,0.70612,0.56334,0.8721,0.92646,0.95191,0.9653,0.7688,0.81131,0.81371,0.99924,0.000495314,0.000495314,0.000495314
28,1999.54,0.70377,0.54744,0.86736,0.91991,0.93783,0.9601,0.76602,0.81758,0.80606,1.01268,0.000488711,0.000488711,0.000488711
29,2074.12,0.71794,0.57842,0.87238,0.90247,0.94985,0.92882,0.74692,0.82152,0.8696,1.00595,0.000482108,0.000482108,0.000482108
30,2147.76,0.72128,0.55787,0.86743,0.91574,0.96146,0.94503,0.74266,0.88582,0.88633,1.04385,0.000475504,0.000475504,0.000475504
31,2221.51,0.72262,0.5408,0.87569,0.88589,0.96682,0.95472,0.75854,0.82558,0.81132,1.00953,0.000468901,0.000468901,0.000468901
32,2296.17,0.69855,0.51598,0.86334,0.91207,0.94037,0.93633,0.74918,0.84736,0.83226,1.05014,0.000462298,0.000462298,0.000462298
33,2370.15,0.70561,0.52987,0.87144,0.87548,0.96731,0.95687,0.76933,0.82484,0.77392,1.02682,0.000455694,0.000455694,0.000455694
34,2445.13,0.6919,0.51969,0.86486,0.89599,0.95035,0.93611,0.74475,0.8129,0.76976,1.00024,0.000449091,0.000449091,0.000449091
35,2519.52,0.71875,0.52365,0.86923,0.89802,0.95607,0.93734,0.75302,0.80513,0.81695,0.99436,0.000442488,0.000442488,0.000442488
36,2592.95,0.7017,0.5124,0.87127,0.93813,0.95973,0.97272,0.77367,0.82279,0.72123,1.00582,0.000435884,0.000435884,0.000435884
37,2667.32,0.68144,0.51753,0.8675,0.92475,0.96949,0.96977,0.77595,0.81127,0.72378,0.99673,0.000429281,0.000429281,0.000429281
38,2740.88,0.71181,0.52534,0.86923,0.91251,0.95813,0.94306,0.74903,0.83701,0.74687,1.01096,0.000422678,0.000422678,0.000422678
