epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3828,1.19667,4.23405,1.03791,0.00419,0.28532,0.10253,0.08769,0.88035,4.25572,0.91446,0.00014674,0.00014674,0.00014674
2,111.481,1.01165,2.96645,0.93535,0.91564,0.0915,0.20608,0.16619,0.90842,3.67509,0.97544,0.000297179,0.000297179,0.000297179
3,165.282,0.93414,2.20721,0.90353,0.79048,0.18773,0.32553,0.24386,0.8464,3.14204,0.94069,0.00044458,0.00044458,0.00044458
4,217.821,0.8671,1.59025,0.89334,0.58196,0.31011,0.4433,0.34284,0.84206,2.57145,0.96544,0.000588943,0.000588943,0.000588943
5,274.627,0.89503,1.29101,0.90573,0.6953,0.51937,0.52212,0.39374,0.88862,2.05651,1.04421,0.000640587,0.000640587,0.000640587
6,344.692,0.86621,1.06894,0.89921,0.71533,0.66929,0.73165,0.55831,0.90932,1.66417,1.08303,0.000633983,0.000633983,0.000633983
7,415.123,0.82808,0.96839,0.89794,0.71801,0.74302,0.83528,0.64554,0.85183,1.29805,1.04622,0.00062738,0.00062738,0.00062738
8,483.695,0.8027,0.92608,0.89096,0.73745,0.86464,0.87392,0.67439,0.85644,1.15196,1.05466,0.000620777,0.000620777,0.000620777
9,548.362,0.80493,0.84001,0.88525,0.79108,0.80502,0.86719,0.65722,0.8492,1.36711,1.03867,0.000614174,0.000614174,0.000614174
10,615.139,0.77161,0.79812,0.88067,0.73075,0.84744,0.8726,0.69907,0.81328,1.12186,1.01071,0.00060757,0.00060757,0.00060757
11,679.598,0.79334,0.78654,0.8855,0.86646,0.88398,0.89928,0.6997,0.83406,1.0369,1.02707,0.000600967,0.000600967,0.000600967
12,742.299,0.77165,0.7497,0.88999,0.77126,0.80852,0.86838,0.68029,0.8337,1.15287,1.03127,0.000594364,0.000594364,0.000594364
13,804.731,0.76273,0.6987,0.88617,0.85922,0.91254,0.90514,0.71546,0.84144,1.05615,1.04047,0.00058776,0.00058776,0.00058776
14,865.605,0.7504,0.67942,0.88178,0.80898,0.91963,0.92509,0.74231,0.81308,0.98375,1.03142,0.000581157,0.000581157,0.000581157
15,930.263,0.77865,0.68519,0.88069,0.83804,0.89246,0.93282,0.74207,0.80783,0.99902,1.01448,0.000574554,0.000574554,0.000574554
16,995.311,0.74138,0.65379,0.87324,0.87742,0.92097,0.93809,0.7583,0.80488,0.93967,1.01507,0.00056795,0.00056795,0.00056795
17,1057.04,0.74865,0.64212,0.87942,0.76693,0.95134,0.94274,0.73142,0.82971,1.01848,1.01531,0.000561347,0.000561347,0.000561347
18,1119.73,0.74238,0.63599,0.87426,0.87395,0.96624,0.94017,0.7328,0.81795,0.90539,1.02242,0.000554744,0.000554744,0.000554744
19,1183.3,0.74046,0.63112,0.87327,0.91108,0.95785,0.94741,0.74883,0.80444,0.88884,1.02063,0.000548141,0.000548141,0.000548141
20,1244.85,0.72812,0.61853,0.87086,0.87654,0.90837,0.94569,0.74689,0.81803,0.96094,1.0231,0.000541537,0.000541537,0.000541537
21,1301.26,0.7418,0.60641,0.87981,0.859,0.94612,0.94146,0.74446,0.82457,0.90241,1.03183,0.000534934,0.000534934,0.000534934
22,1352.73,0.7281,0.58515,0.87445,0.84911,0.94587,0.92966,0.73467,0.81323,0.85063,1.02597,0.000528331,0.000528331,0.000528331
23,1405.45,0.73927,0.58578,0.8742,0.90475,0.97061,0.94422,0.72186,0.8568,0.84765,1.0487,0.000521727,0.000521727,0.000521727
24,1457.86,0.72417,0.59583,0.87195,0.84632,0.95311,0.94028,0.74448,0.84568,0.94768,1.02958,0.000515124,0.000515124,0.000515124
25,1510.26,0.70431,0.59286,0.86843,0.90258,0.96867,0.94948,0.75516,0.79509,0.81015,1.01009,0.000508521,0.000508521,0.000508521
26,1563.52,0.71889,0.59101,0.87026,0.89632,0.96413,0.94575,0.76173,0.80046,0.81669,1.00789,0.000501917,0.000501917,0.000501917
27,1615.34,0.73571,0.57241,0.86778,0.92207,0.9501,0.94842,0.74164,0.82586,0.82585,1.01153,0.000495314,0.000495314,0.000495314
28,1666.64,0.72724,0.587,0.87797,0.88284,0.96988,0.94897,0.75768,0.79503,0.80733,1.00256,0.000488711,0.000488711,0.000488711
29,1718.02,0.72932,0.56871,0.86838,0.89811,0.95747,0.94377,0.7518,0.8088,0.78812,1.01946,0.000482108,0.000482108,0.000482108
30,1769.52,0.72869,0.55061,0.86508,0.90776,0.95865,0.95143,0.76979,0.80501,0.76783,1.00735,0.000475504,0.000475504,0.000475504
31,1821.95,0.74401,0.55062,0.86779,0.92107,0.96722,0.95479,0.76092,0.77925,0.72868,0.99806,0.000468901,0.000468901,0.000468901
32,1874.01,0.70996,0.54558,0.87018,0.87906,0.96074,0.94917,0.76231,0.78851,0.77189,0.99937,0.000462298,0.000462298,0.000462298
33,1926.2,0.69335,0.52438,0.8629,0.90633,0.95006,0.94985,0.76048,0.79393,0.78061,1.002,0.000455694,0.000455694,0.000455694
34,1978.09,0.69453,0.5316,0.86495,0.88841,0.96699,0.93024,0.74441,0.78966,0.76751,0.99958,0.000449091,0.000449091,0.000449091
35,2029.83,0.68152,0.5093,0.86661,0.90129,0.97259,0.94417,0.75166,0.77988,0.77119,0.99902,0.000442488,0.000442488,0.000442488
36,2083.15,0.69062,0.52401,0.85877,0.90905,0.94322,0.94869,0.75179,0.80524,0.74237,1.01962,0.000435884,0.000435884,0.000435884
37,2135.65,0.68877,0.52897,0.85705,0.90768,0.95094,0.94849,0.75469,0.8042,0.73129,1.02076,0.000429281,0.000429281,0.000429281
38,2188.13,0.69386,0.51561,0.86339,0.88621,0.9502,0.93934,0.74054,0.81341,0.73345,1.02038,0.000422678,0.000422678,0.000422678
39,2240.08,0.70428,0.51371,0.8643,0.87377,0.96067,0.93545,0.74599,0.80787,0.76345,1.01657,0.000416075,0.000416075,0.000416075
40,2293.08,0.6967,0.51584,0.86172,0.88924,0.95302,0.93447,0.75446,0.80342,0.76224,1.00405,0.000409471,0.000409471,0.000409471
41,2345.24,0.68141,0.50618,0.8589,0.89602,0.95085,0.93884,0.73956,0.82939,0.74521,1.02616,0.000402868,0.000402868,0.000402868
42,2397.6,0.69794,0.50864,0.86709,0.90664,0.95883,0.94668,0.75728,0.79287,0.70452,1.00411,0.000396265,0.000396265,0.000396265
43,2449.75,0.69877,0.50004,0.86174,0.88273,0.93698,0.94477,0.74253,0.82109,0.73721,1.03596,0.000389661,0.000389661,0.000389661
44,2501.36,0.67909,0.4846,0.86367,0.91159,0.96061,0.94845,0.74105,0.80147,0.7303,1.01011,0.000383058,0.000383058,0.000383058
45,2553.29,0.69308,0.49228,0.86424,0.91329,0.96363,0.95153,0.75745,0.77853,0.7042,0.99221,0.000376455,0.000376455,0.000376455
46,2605.58,0.69284,0.49055,0.86375,0.90714,0.9566,0.95562,0.74176,0.81063,0.71415,1.01341,0.000369851,0.000369851,0.000369851
47,2659.06,0.68713,0.49525,0.8535,0.91181,0.95541,0.94975,0.74198,0.80205,0.68194,1.01212,0.000363248,0.000363248,0.000363248
48,2711.62,0.69279,0.48243,0.86141,0.91736,0.95481,0.9439,0.75358,0.78143,0.69131,0.99144,0.000356645,0.000356645,0.000356645
49,2764.34,0.69548,0.48354,0.85613,0.90037,0.95062,0.94324,0.75538,0.77555,0.70089,0.98786,0.000350042,0.000350042,0.000350042
50,2816.29,0.67654,0.46407,0.85939,0.89676,0.95661,0.94171,0.75044,0.79173,0.67942,1.00424,0.000343438,0.000343438,0.000343438
51,2869.3,0.66888,0.45701,0.85946,0.905,0.95128,0.94831,0.75584,0.8031,0.67743,1.01522,0.000336835,0.000336835,0.000336835
52,2921.3,0.67356,0.45601,0.86339,0.90466,0.95892,0.94441,0.75407,0.78823,0.67309,0.995,0.000330232,0.000330232,0.000330232
53,2973.78,0.6847,0.47513,0.8598,0.91433,0.95787,0.958,0.75962,0.79368,0.64975,1.00631,0.000323628,0.000323628,0.000323628
54,3026.82,0.67321,0.46993,0.8509,0.91784,0.95152,0.95402,0.76132,0.78859,0.67056,1.00011,0.000317025,0.000317025,0.000317025
55,3079.83,0.67632,0.45983,0.85906,0.90983,0.95793,0.9549,0.76234,0.79695,0.65734,1.01143,0.000310422,0.000310422,0.000310422
56,3131.93,0.66672,0.4624,0.8523,0.91364,0.95166,0.95497,0.75088,0.81166,0.65261,1.0217,0.000303818,0.000303818,0.000303818
57,3183.47,0.65886,0.4526,0.85734,0.90881,0.93109,0.95383,0.76018,0.79341,0.65434,1.00626,0.000297215,0.000297215,0.000297215
58,3236.41,0.67293,0.44418,0.85226,0.89151,0.95537,0.95029,0.7551,0.7876,0.65819,1.01025,0.000290612,0.000290612,0.000290612
59,3289.43,0.66543,0.46712,0.86163,0.90343,0.95068,0.95267,0.76681,0.77829,0.6383,0.99942,0.000284009,0.000284009,0.000284009
60,3341.38,0.67539,0.44556,0.85821,0.90493,0.96332,0.9527,0.75985,0.77787,0.64526,1.00138,0.000277405,0.000277405,0.000277405
61,3392.51,0.65924,0.42629,0.8534,0.91823,0.95284,0.95474,0.76877,0.76582,0.61466,0.99034,0.000270802,0.000270802,0.000270802
62,3444.2,0.67742,0.45793,0.85637,0.89673,0.96199,0.95226,0.7726,0.7784,0.64426,0.9951,0.000264199,0.000264199,0.000264199
63,3496.5,0.65568,0.44101,0.85213,0.91241,0.94922,0.95154,0.77122,0.77234,0.63381,0.99387,0.000257595,0.000257595,0.000257595
64,3548.72,0.64671,0.43416,0.85203,0.90138,0.96882,0.9494,0.74632,0.79069,0.64577,1.00462,0.000250992,0.000250992,0.000250992
65,3600.11,0.66065,0.44064,0.85363,0.90756,0.96603,0.94126,0.7544,0.7849,0.63796,0.99628,0.000244389,0.000244389,0.000244389
66,3651.97,0.66619,0.42905,0.8532,0.92271,0.97208,0.95193,0.77115,0.78111,0.62892,0.99551,0.000237785,0.000237785,0.000237785
67,3702.95,0.66867,0.4404,0.85341,0.9099,0.96443,0.95029,0.76152,0.78189,0.60242,0.99487,0.000231182,0.000231182,0.000231182
68,3754.84,0.64322,0.42087,0.85569,0.9109,0.96582,0.95165,0.75981,0.79272,0.61335,1.00269,0.000224579,0.000224579,0.000224579
69,3806.56,0.65429,0.43179,0.85273,0.90397,0.97209,0.95635,0.75832,0.79658,0.61323,0.99583,0.000217976,0.000217976,0.000217976
70,3858.1,0.65014,0.42227,0.85458,0.91437,0.96251,0.95416,0.75908,0.80323,0.60736,1.00838,0.000211372,0.000211372,0.000211372
71,3909.74,0.64667,0.42038,0.8416,0.90824,0.95824,0.95395,0.75671,0.78226,0.5996,0.99413,0.000204769,0.000204769,0.000204769
72,3961.71,0.66577,0.42676,0.85523,0.91613,0.94752,0.95054,0.77153,0.78134,0.60394,1.00145,0.000198166,0.000198166,0.000198166
73,4013.18,0.66029,0.42303,0.85414,0.90039,0.95749,0.94937,0.76897,0.7934,0.62302,1.01783,0.000191562,0.000191562,0.000191562
74,4065.17,0.6578,0.41372,0.85673,0.92127,0.96026,0.95241,0.76709,0.78473,0.61172,0.99684,0.000184959,0.000184959,0.000184959
75,4116.65,0.65436,0.41677,0.85254,0.91745,0.96608,0.94808,0.75671,0.78726,0.6084,1.00606,0.000178356,0.000178356,0.000178356
76,4168.21,0.65943,0.41545,0.85541,0.91724,0.97148,0.95019,0.7805,0.77647,0.59742,1.00123,0.000171752,0.000171752,0.000171752
77,4220.06,0.64216,0.41073,0.84885,0.91526,0.96864,0.95536,0.77016,0.79554,0.59509,1.01322,0.000165149,0.000165149,0.000165149
78,4271.83,0.64068,0.41235,0.84948,0.92588,0.95434,0.95386,0.76687,0.77048,0.59174,0.99129,0.000158546,0.000158546,0.000158546
79,4324.05,0.61851,0.40117,0.84718,0.9196,0.95334,0.9522,0.75391,0.7885,0.59691,1.00465,0.000151943,0.000151943,0.000151943
80,4376.57,0.659,0.41972,0.85403,0.91462,0.95209,0.95463,0.76869,0.78352,0.59721,0.9905,0.000145339,0.000145339,0.000145339
81,4428.38,0.65377,0.41417,0.84859,0.91133,0.96695,0.95589,0.76495,0.78977,0.59933,0.99851,0.000138736,0.000138736,0.000138736
82,4480.94,0.62879,0.39317,0.84563,0.9133,0.95126,0.94651,0.76228,0.78193,0.60466,0.99849,0.000132133,0.000132133,0.000132133
83,4531.96,0.63173,0.40834,0.8501,0.90922,0.95596,0.94472,0.76654,0.78525,0.59296,0.9986,0.000125529,0.000125529,0.000125529
84,4583.28,0.64601,0.39795,0.85241,0.91666,0.96309,0.94606,0.76259,0.78331,0.60495,1.00102,0.000118926,0.000118926,0.000118926
85,4635.74,0.64287,0.40394,0.84659,0.91073,0.95933,0.94965,0.75895,0.79013,0.59597,1.00873,0.000112323,0.000112323,0.000112323
86,4688.95,0.63246,0.39624,0.84686,0.90942,0.96516,0.94502,0.765,0.79217,0.59815,1.01151,0.00010572,0.00010572,0.00010572
87,4741.47,0.6304,0.40348,0.84718,0.91366,0.96482,0.94815,0.77017,0.78079,0.59824,1.00346,9.91162e-05,9.91162e-05,9.91162e-05
88,4793.08,0.63142,0.40387,0.84225,0.91975,0.95973,0.94933,0.76977,0.78191,0.5847,1.00521,9.25129e-05,9.25129e-05,9.25129e-05
89,4845.56,0.62657,0.40275,0.85025,0.91958,0.96145,0.94751,0.77683,0.78243,0.59297,1.00277,8.59096e-05,8.59096e-05,8.59096e-05
90,4897.32,0.6275,0.3802,0.84639,0.90905,0.96359,0.94689,0.77576,0.78388,0.5896,1.00238,7.93063e-05,7.93063e-05,7.93063e-05
91,4948.79,0.63145,0.40052,0.85838,0.90349,0.96996,0.94935,0.76897,0.78477,0.58783,1.00283,7.2703e-05,7.2703e-05,7.2703e-05
92,4999.76,0.62994,0.40198,0.84751,0.90422,0.97077,0.94839,0.76412,0.78148,0.57987,1.00563,6.60997e-05,6.60997e-05,6.60997e-05
93,5051.53,0.62024,0.38717,0.85918,0.9129,0.9539,0.95114,0.77193,0.77816,0.5825,1.00249,5.94964e-05,5.94964e-05,5.94964e-05
94,5102.82,0.61898,0.38941,0.85108,0.90239,0.96287,0.95259,0.77219,0.77623,0.58759,0.9985,5.28931e-05,5.28931e-05,5.28931e-05
95,5154.44,0.61826,0.37904,0.84866,0.91514,0.95496,0.951,0.76764,0.77814,0.5769,1.00153,4.62898e-05,4.62898e-05,4.62898e-05
96,5206.53,0.6139,0.38398,0.84712,0.91517,0.95922,0.94739,0.76575,0.7776,0.57801,0.99674,3.96865e-05,3.96865e-05,3.96865e-05
