epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8319,1.15227,4.29948,1.02945,0.00166,0.11838,0.08357,0.07791,0.69429,4.59378,0.82889,0.00012006,0.00012006,0.00012006
2,100.802,0.98248,3.05546,0.9249,0.01032,0.59178,0.20526,0.15821,0.74492,4.10593,0.85951,0.000244347,0.000244347,0.000244347
3,151.035,0.91797,2.30663,0.89454,0.79989,0.15868,0.25816,0.19878,0.76084,3.70172,0.89319,0.000366124,0.000366124,0.000366124
4,201.699,0.8997,1.76023,0.89259,0.98574,0.22583,0.41646,0.32758,0.7009,3.52178,0.88246,0.000485393,0.000485393,0.000485393
5,253.036,0.83872,1.3284,0.88744,0.63823,0.45218,0.53667,0.41789,0.71697,3.10764,0.89121,0.000602152,0.000602152,0.000602152
6,303.322,0.82465,1.12462,0.88783,0.76201,0.56334,0.60867,0.48957,0.66956,2.62147,0.89367,0.000633983,0.000633983,0.000633983
7,353.295,0.79476,0.9902,0.8829,0.81741,0.6271,0.68028,0.53032,0.70893,2.29139,0.90582,0.00062738,0.00062738,0.00062738
8,404.632,0.78372,0.97286,0.882,0.85278,0.61137,0.66897,0.52501,0.723,1.86096,0.9074,0.000620777,0.000620777,0.000620777
9,455.256,0.77187,0.84544,0.87184,0.87685,0.64919,0.72843,0.59089,0.65903,1.68846,0.88369,0.000614174,0.000614174,0.000614174
10,505.695,0.76285,0.80821,0.88263,0.88739,0.68243,0.76179,0.61141,0.68609,1.57569,0.88276,0.00060757,0.00060757,0.00060757
11,556.659,0.75731,0.76225,0.8674,0.6808,0.82183,0.81053,0.64087,0.74514,1.22853,0.90557,0.000600967,0.000600967,0.000600967
12,606.938,0.73378,0.73743,0.86569,0.74437,0.80727,0.82198,0.67224,0.6861,1.38429,0.90832,0.000594364,0.000594364,0.000594364
13,658.221,0.71895,0.71122,0.86002,0.80572,0.79797,0.85165,0.68831,0.72127,1.21082,0.89538,0.00058776,0.00058776,0.00058776
14,708.119,0.73862,0.71272,0.86963,0.80286,0.78808,0.88612,0.70536,0.68478,1.1632,0.88925,0.000581157,0.000581157,0.000581157
15,758.451,0.70256,0.66649,0.86324,0.77455,0.8869,0.85782,0.6859,0.68235,1.08752,0.90044,0.000574554,0.000574554,0.000574554
16,809.336,0.73721,0.62667,0.85867,0.81028,0.92135,0.89092,0.71591,0.6782,1.07521,0.87892,0.00056795,0.00056795,0.00056795
17,861.71,0.71648,0.64088,0.85734,0.85226,0.88563,0.91531,0.73148,0.69572,1.14721,0.89576,0.000561347,0.000561347,0.000561347
18,912.633,0.71595,0.629,0.86566,0.82333,0.89768,0.92203,0.76254,0.63922,1.10136,0.87346,0.000554744,0.000554744,0.000554744
19,964.057,0.70181,0.61187,0.85322,0.84221,0.88253,0.93265,0.75692,0.63914,1.06037,0.88121,0.000548141,0.000548141,0.000548141
20,1016.08,0.70239,0.59541,0.85887,0.91871,0.89352,0.94397,0.75311,0.66438,1.05823,0.88802,0.000541537,0.000541537,0.000541537
21,1068.11,0.7178,0.59972,0.85913,0.95053,0.88299,0.94034,0.75499,0.72185,1.00034,0.89838,0.000534934,0.000534934,0.000534934
22,1120.04,0.6965,0.59453,0.85813,0.90795,0.88838,0.93863,0.75892,0.68648,0.98231,0.88393,0.000528331,0.000528331,0.000528331
23,1171.57,0.69957,0.56458,0.85521,0.90803,0.87622,0.9516,0.76818,0.67972,1.01737,0.88422,0.000521727,0.000521727,0.000521727
24,1223.19,0.71116,0.57703,0.85719,0.90283,0.91372,0.94054,0.77268,0.65256,0.91775,0.88729,0.000515124,0.000515124,0.000515124
25,1273.93,0.68097,0.58773,0.85334,0.9195,0.89371,0.92268,0.76246,0.63252,0.93006,0.88176,0.000508521,0.000508521,0.000508521
26,1324.38,0.70498,0.56572,0.86221,0.84756,0.89864,0.92837,0.74539,0.67282,1.02959,0.87968,0.000501917,0.000501917,0.000501917
27,1375.08,0.68498,0.54872,0.85716,0.90314,0.8726,0.9384,0.76002,0.65463,1.01557,0.89554,0.000495314,0.000495314,0.000495314
