epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.524,1.096,3.64024,0.98954,0.99514,0.09091,0.20864,0.16938,1.00195,3.99453,0.98468,0.000217887,0.000217887,0.000217887
2,262.04,0.90261,1.89444,0.90252,0.7204,0.32132,0.51747,0.40781,0.91166,2.69205,0.97387,0.000435862,0.000435862,0.000435862
3,395.176,0.84139,1.16897,0.89639,0.82099,0.7207,0.84298,0.61147,0.96914,1.58896,1.02008,0.000649435,0.000649435,0.000649435
4,529.957,0.80895,0.94301,0.90314,0.74779,0.82434,0.89516,0.69548,0.88705,1.33917,1.00356,0.00064719,0.00064719,0.00064719
5,667.626,0.78966,0.82171,0.88693,0.86712,0.89544,0.91699,0.70061,0.9377,1.13587,1.03374,0.000640587,0.000640587,0.000640587
6,805.584,0.80619,0.7864,0.8881,0.79168,0.90605,0.9408,0.70853,0.87709,0.99612,0.99531,0.000633983,0.000633983,0.000633983
7,944.243,0.7512,0.71934,0.88002,0.9044,0.93028,0.97308,0.73022,0.88116,0.95929,1.00446,0.00062738,0.00062738,0.00062738
8,1083.79,0.75892,0.69217,0.87922,0.92266,0.9625,0.9716,0.77027,0.88625,0.92002,1.00225,0.000620777,0.000620777,0.000620777
9,1223.32,0.74599,0.6594,0.8806,0.93125,0.96577,0.96999,0.75604,0.88184,0.87218,1.01695,0.000614174,0.000614174,0.000614174
10,1363.26,0.75615,0.64046,0.88176,0.93389,0.94942,0.96375,0.76349,0.8131,0.8331,0.97596,0.00060757,0.00060757,0.00060757
11,1503.47,0.72704,0.62715,0.88122,0.93749,0.94218,0.97524,0.77377,0.85433,0.8535,0.99197,0.000600967,0.000600967,0.000600967
12,1643.87,0.76275,0.61564,0.88303,0.9102,0.95602,0.97205,0.75981,0.84427,0.84851,0.98756,0.000594364,0.000594364,0.000594364
13,1785.19,0.7301,0.58072,0.87842,0.90998,0.93631,0.96957,0.76247,0.86088,0.79131,0.99199,0.00058776,0.00058776,0.00058776
14,1925.92,0.71533,0.56524,0.87351,0.89605,0.92403,0.961,0.76367,0.81944,0.82205,0.96607,0.000581157,0.000581157,0.000581157
15,2066.7,0.70837,0.56016,0.86929,0.90286,0.95179,0.93473,0.74498,0.82997,0.82208,0.96071,0.000574554,0.000574554,0.000574554
16,2207.89,0.72479,0.5427,0.87318,0.94899,0.96466,0.96991,0.7619,0.82356,0.71887,0.96146,0.00056795,0.00056795,0.00056795
17,2349.28,0.70594,0.54827,0.86641,0.92494,0.94972,0.95898,0.76914,0.81339,0.76227,0.95503,0.000561347,0.000561347,0.000561347
18,2490.86,0.70025,0.53401,0.86612,0.92598,0.95797,0.96347,0.77254,0.82607,0.72702,0.96805,0.000554744,0.000554744,0.000554744
19,2632.74,0.70755,0.52936,0.86838,0.95075,0.96822,0.9654,0.75353,0.84103,0.67156,0.96771,0.000548141,0.000548141,0.000548141
20,2774.41,0.71261,0.50394,0.86698,0.93083,0.95593,0.96374,0.75666,0.83954,0.71828,0.95575,0.000541537,0.000541537,0.000541537
21,2914.05,0.70923,0.50957,0.87112,0.94959,0.96794,0.96881,0.77251,0.80879,0.65053,0.96841,0.000534934,0.000534934,0.000534934
22,3054.91,0.6951,0.48499,0.86348,0.95426,0.96518,0.96671,0.76847,0.82594,0.65216,0.98367,0.000528331,0.000528331,0.000528331
23,3191.81,0.69723,0.48923,0.8658,0.94865,0.96502,0.96669,0.7622,0.82743,0.68291,0.96924,0.000521727,0.000521727,0.000521727
24,3328.26,0.69981,0.49187,0.8734,0.95377,0.95485,0.96805,0.75864,0.83789,0.67602,0.96645,0.000515124,0.000515124,0.000515124
25,3464.84,0.69125,0.47629,0.8669,0.95287,0.96353,0.97288,0.76858,0.84141,0.63395,0.97488,0.000508521,0.000508521,0.000508521
26,3601.81,0.68843,0.47129,0.86337,0.93759,0.96312,0.97029,0.75841,0.85454,0.65118,0.97337,0.000501917,0.000501917,0.000501917
27,3738.33,0.6755,0.47739,0.8652,0.94774,0.97216,0.97696,0.75934,0.83692,0.60108,0.96889,0.000495314,0.000495314,0.000495314
28,3876.39,0.67767,0.45511,0.86556,0.95593,0.96842,0.97234,0.77181,0.83489,0.58412,0.96743,0.000488711,0.000488711,0.000488711
29,4014.67,0.68803,0.45842,0.87022,0.94421,0.97217,0.97225,0.77103,0.82598,0.57206,0.96931,0.000482108,0.000482108,0.000482108
30,4152.28,0.67286,0.4438,0.85754,0.91376,0.97195,0.94288,0.74849,0.81988,0.61167,0.95591,0.000475504,0.000475504,0.000475504
31,4289.68,0.67002,0.4339,0.85865,0.93785,0.9727,0.97061,0.7532,0.851,0.59665,0.97216,0.000468901,0.000468901,0.000468901
32,4427.17,0.68344,0.44277,0.86466,0.92422,0.96798,0.96496,0.76826,0.83029,0.62575,0.96389,0.000462298,0.000462298,0.000462298
33,4563.63,0.6835,0.43903,0.86974,0.92649,0.96926,0.97606,0.76305,0.84608,0.60028,0.98055,0.000455694,0.000455694,0.000455694
34,4700.62,0.67725,0.42854,0.86194,0.95387,0.97319,0.97456,0.76755,0.87343,0.57518,0.99472,0.000449091,0.000449091,0.000449091
35,4838.6,0.67475,0.4326,0.8647,0.94085,0.96309,0.96357,0.75996,0.83986,0.61711,0.97265,0.000442488,0.000442488,0.000442488
36,4976.55,0.66878,0.41696,0.86043,0.94801,0.97455,0.96513,0.76765,0.83107,0.55532,0.97005,0.000435884,0.000435884,0.000435884
