epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8116,1.16969,4.2383,1.02837,0.00242,0.16329,0.09318,0.08676,0.80719,4.28769,0.87093,0.00012673,0.00012673,0.00012673
2,106.886,1.01344,2.95517,0.91485,0.95799,0.10676,0.22197,0.17751,0.86505,3.44809,0.90613,0.000257555,0.000257555,0.000257555
3,159.763,0.91297,2.2227,0.89432,0.92938,0.13759,0.28613,0.22209,0.81901,3.02667,0.92087,0.000385738,0.000385738,0.000385738
4,211.622,0.8551,1.82767,0.88665,0.8185,0.23079,0.46067,0.35705,0.79636,2.74786,0.913,0.00051128,0.00051128,0.00051128
5,263,0.83079,1.30698,0.88356,0.60805,0.47449,0.55308,0.44686,0.77688,2.34219,0.92823,0.000634181,0.000634181,0.000634181
6,314.404,0.84277,1.17334,0.88439,0.70554,0.5872,0.71705,0.5523,0.83998,1.89015,0.98353,0.000633983,0.000633983,0.000633983
7,365.956,0.78,0.98797,0.87583,0.68283,0.77254,0.74808,0.56587,0.82762,1.3677,0.98647,0.00062738,0.00062738,0.00062738
8,417.864,0.78867,0.88225,0.87585,0.74064,0.83981,0.79226,0.61089,0.80191,1.27891,0.9659,0.000620777,0.000620777,0.000620777
9,469.971,0.75202,0.82738,0.87088,0.73004,0.83483,0.8707,0.67778,0.78897,1.14307,0.95934,0.000614174,0.000614174,0.000614174
10,522.753,0.78069,0.8023,0.87911,0.75109,0.8336,0.8322,0.63281,0.82177,1.18766,0.97317,0.00060757,0.00060757,0.00060757
11,575.334,0.74295,0.74096,0.87344,0.83724,0.8795,0.8876,0.70019,0.81702,1.03186,0.97643,0.000600967,0.000600967,0.000600967
12,627.531,0.74783,0.73684,0.8716,0.84238,0.88062,0.9298,0.7282,0.78526,0.91299,0.96037,0.000594364,0.000594364,0.000594364
13,679.7,0.74963,0.67935,0.86962,0.89212,0.92906,0.95737,0.76558,0.76909,1.01103,0.94659,0.00058776,0.00058776,0.00058776
14,732.131,0.7419,0.67631,0.86433,0.90795,0.89456,0.96982,0.75481,0.76691,0.90133,0.94371,0.000581157,0.000581157,0.000581157
15,785.843,0.73756,0.66224,0.86592,0.9055,0.9027,0.96473,0.77255,0.7544,0.90132,0.93525,0.000574554,0.000574554,0.000574554
16,838.849,0.70607,0.6601,0.85501,0.87426,0.89043,0.94601,0.75642,0.74849,0.99603,0.92501,0.00056795,0.00056795,0.00056795
17,892.028,0.71623,0.62479,0.85332,0.90093,0.9031,0.95946,0.77175,0.73527,0.90457,0.92825,0.000561347,0.000561347,0.000561347
18,944.809,0.73704,0.62215,0.86105,0.89366,0.90167,0.93383,0.75357,0.75731,0.90774,0.93415,0.000554744,0.000554744,0.000554744
19,998.42,0.73509,0.63603,0.87019,0.88424,0.9069,0.92439,0.73442,0.73951,0.93019,0.92508,0.000548141,0.000548141,0.000548141
20,1051.96,0.70354,0.61268,0.85835,0.90198,0.90559,0.95336,0.76797,0.7247,0.83305,0.91705,0.000541537,0.000541537,0.000541537
21,1105.79,0.69826,0.60702,0.85628,0.89186,0.92306,0.97491,0.78546,0.73734,0.81068,0.92662,0.000534934,0.000534934,0.000534934
22,1159.99,0.70508,0.57765,0.85359,0.9462,0.89272,0.97909,0.76767,0.76217,0.83033,0.93176,0.000528331,0.000528331,0.000528331
23,1212.32,0.70417,0.59435,0.86176,0.93125,0.94455,0.97678,0.78406,0.74533,0.79456,0.93422,0.000521727,0.000521727,0.000521727
24,1265.1,0.70485,0.57636,0.85061,0.84456,0.9944,0.98127,0.78143,0.76016,0.77943,0.93695,0.000515124,0.000515124,0.000515124
25,1317.51,0.6932,0.56767,0.86746,0.93888,0.88838,0.97947,0.7857,0.73842,0.80981,0.92891,0.000508521,0.000508521,0.000508521
26,1369.92,0.68739,0.57402,0.85277,0.85799,0.94093,0.97434,0.78282,0.75802,0.75411,0.93823,0.000501917,0.000501917,0.000501917
27,1422.63,0.71073,0.59699,0.86012,0.89788,0.90381,0.96648,0.75319,0.77481,0.76824,0.94168,0.000495314,0.000495314,0.000495314
28,1475.52,0.68449,0.55127,0.84859,0.9275,0.91837,0.96959,0.77449,0.74225,0.74201,0.91729,0.000488711,0.000488711,0.000488711
29,1528.01,0.69301,0.54865,0.8542,0.85646,0.94974,0.97669,0.7735,0.74897,0.7247,0.92891,0.000482108,0.000482108,0.000482108
30,1580.48,0.68808,0.56828,0.8514,0.85955,0.93769,0.95311,0.75765,0.76633,0.76572,0.93472,0.000475504,0.000475504,0.000475504
31,1633.44,0.67567,0.54258,0.8531,0.87992,0.93558,0.95893,0.7626,0.74922,0.74059,0.92969,0.000468901,0.000468901,0.000468901
32,1685.73,0.68771,0.53522,0.85909,0.89306,0.91846,0.94589,0.74602,0.75397,0.76284,0.92044,0.000462298,0.000462298,0.000462298
33,1739.08,0.67601,0.52417,0.85136,0.90757,0.90366,0.97051,0.77249,0.75181,0.6979,0.92469,0.000455694,0.000455694,0.000455694
34,1792.08,0.66414,0.52019,0.84753,0.84148,0.96977,0.97449,0.77522,0.76508,0.78056,0.93302,0.000449091,0.000449091,0.000449091
35,1845.08,0.6841,0.5251,0.85354,0.86975,0.95162,0.96977,0.77332,0.75107,0.67222,0.92849,0.000442488,0.000442488,0.000442488
36,1897.97,0.67054,0.49436,0.84967,0.89258,0.93418,0.97301,0.78888,0.74767,0.72984,0.92083,0.000435884,0.000435884,0.000435884
37,1950.61,0.66687,0.4897,0.85021,0.91749,0.92104,0.96699,0.79094,0.72818,0.64149,0.91838,0.000429281,0.000429281,0.000429281
38,2003.41,0.67943,0.50263,0.85571,0.86547,0.94964,0.97578,0.78544,0.75286,0.66016,0.92814,0.000422678,0.000422678,0.000422678
39,2056.14,0.66765,0.52719,0.85143,0.89974,0.92174,0.95304,0.77473,0.74379,0.67584,0.91785,0.000416075,0.000416075,0.000416075
40,2108.84,0.66186,0.4965,0.85126,0.88828,0.92389,0.97892,0.80341,0.74336,0.66163,0.92199,0.000409471,0.000409471,0.000409471
41,2161.49,0.68198,0.49605,0.85697,0.86678,0.94638,0.97929,0.79549,0.73929,0.64128,0.92205,0.000402868,0.000402868,0.000402868
42,2214.47,0.66139,0.4839,0.85504,0.92906,0.88597,0.97358,0.79202,0.73631,0.64832,0.92182,0.000396265,0.000396265,0.000396265
43,2267.99,0.67046,0.48429,0.84983,0.96372,0.89635,0.97626,0.79265,0.74243,0.64571,0.92728,0.000389661,0.000389661,0.000389661
44,2321.67,0.6631,0.47944,0.83795,0.91471,0.93557,0.96985,0.79874,0.7321,0.64853,0.91458,0.000383058,0.000383058,0.000383058
45,2374.9,0.67892,0.48867,0.8533,0.92044,0.93674,0.96791,0.79077,0.74628,0.65984,0.92018,0.000376455,0.000376455,0.000376455
46,2428.33,0.66817,0.47971,0.84224,0.92533,0.94627,0.98303,0.79243,0.73384,0.60315,0.91919,0.000369851,0.000369851,0.000369851
47,2482.26,0.67434,0.4876,0.84938,0.94026,0.93021,0.9716,0.79047,0.75364,0.61454,0.92686,0.000363248,0.000363248,0.000363248
48,2535.97,0.64343,0.46948,0.84347,0.8968,0.94728,0.96975,0.78437,0.73104,0.62245,0.91153,0.000356645,0.000356645,0.000356645
49,2590.06,0.64512,0.4578,0.84614,0.91061,0.92389,0.95751,0.77096,0.76654,0.6057,0.93438,0.000350042,0.000350042,0.000350042
50,2644.14,0.66278,0.46833,0.84931,0.91061,0.92074,0.95957,0.77808,0.75562,0.60611,0.931,0.000343438,0.000343438,0.000343438
51,2698.03,0.65922,0.45572,0.84202,0.91526,0.91411,0.95925,0.78295,0.7234,0.6108,0.9137,0.000336835,0.000336835,0.000336835
52,2752.01,0.64821,0.45537,0.84524,0.91504,0.9289,0.96719,0.78691,0.75888,0.60757,0.93039,0.000330232,0.000330232,0.000330232
53,2806.27,0.6476,0.45206,0.84944,0.93746,0.93368,0.97196,0.7992,0.73907,0.58886,0.92004,0.000323628,0.000323628,0.000323628
54,2861.5,0.66179,0.46094,0.84605,0.95129,0.92436,0.97507,0.80338,0.73572,0.61915,0.91905,0.000317025,0.000317025,0.000317025
55,2917.44,0.64645,0.45774,0.83664,0.9035,0.95975,0.98221,0.8053,0.73619,0.58386,0.92422,0.000310422,0.000310422,0.000310422
56,2973.89,0.67317,0.46848,0.84587,0.9524,0.91573,0.98594,0.7966,0.74424,0.59341,0.92689,0.000303818,0.000303818,0.000303818
57,3029.36,0.64408,0.44456,0.84431,0.9224,0.92142,0.98499,0.7949,0.71846,0.5742,0.91347,0.000297215,0.000297215,0.000297215
58,3087.46,0.65728,0.4369,0.8444,0.91777,0.92345,0.9612,0.77279,0.74175,0.5954,0.9284,0.000290612,0.000290612,0.000290612
59,3146.27,0.66131,0.44255,0.844,0.8877,0.92793,0.97715,0.78116,0.72342,0.5919,0.91809,0.000284009,0.000284009,0.000284009
60,3201.4,0.64273,0.43611,0.84077,0.94385,0.91693,0.98058,0.79258,0.73001,0.58725,0.91912,0.000277405,0.000277405,0.000277405
61,3256.15,0.64519,0.43429,0.84419,0.94169,0.92777,0.9789,0.7943,0.72469,0.56597,0.91619,0.000270802,0.000270802,0.000270802
62,3310.86,0.65416,0.45057,0.84695,0.92766,0.93036,0.97618,0.79894,0.73989,0.572,0.9203,0.000264199,0.000264199,0.000264199
63,3365.26,0.64655,0.44685,0.85036,0.93207,0.91488,0.98197,0.79195,0.71888,0.5734,0.91275,0.000257595,0.000257595,0.000257595
64,3420.43,0.64667,0.43735,0.84745,0.94499,0.90071,0.98247,0.78696,0.74007,0.57111,0.92382,0.000250992,0.000250992,0.000250992
65,3475.2,0.63347,0.42128,0.8422,0.9345,0.91855,0.98241,0.78954,0.7251,0.5672,0.91463,0.000244389,0.000244389,0.000244389
66,3529.24,0.64382,0.43756,0.83728,0.93632,0.94506,0.98608,0.79525,0.73454,0.54458,0.92657,0.000237785,0.000237785,0.000237785
67,3582.41,0.66532,0.43387,0.85485,0.96246,0.93801,0.98717,0.79583,0.72491,0.54474,0.92172,0.000231182,0.000231182,0.000231182
68,3636.68,0.64622,0.42563,0.85024,0.9531,0.93686,0.98628,0.79663,0.73266,0.55463,0.92371,0.000224579,0.000224579,0.000224579
69,3690.88,0.64551,0.42161,0.83992,0.93357,0.93595,0.98799,0.79662,0.73565,0.55581,0.91976,0.000217976,0.000217976,0.000217976
70,3745.48,0.64625,0.41887,0.84262,0.96531,0.89433,0.98756,0.78932,0.74157,0.55948,0.92206,0.000211372,0.000211372,0.000211372
71,3800.8,0.62205,0.42141,0.83591,0.9146,0.92733,0.97982,0.79006,0.7594,0.56952,0.93435,0.000204769,0.000204769,0.000204769
72,3856,0.63692,0.41466,0.84463,0.91682,0.94187,0.98561,0.79233,0.74451,0.55631,0.92569,0.000198166,0.000198166,0.000198166
73,3909.8,0.63535,0.41651,0.83637,0.95629,0.92599,0.98523,0.78811,0.75305,0.55515,0.93061,0.000191562,0.000191562,0.000191562
74,3963.34,0.6247,0.40747,0.83789,0.92673,0.92731,0.98296,0.78708,0.74339,0.543,0.92523,0.000184959,0.000184959,0.000184959
75,4017.3,0.65296,0.41959,0.84368,0.89015,0.93835,0.96965,0.78872,0.74199,0.55435,0.92735,0.000178356,0.000178356,0.000178356
76,4070.4,0.61917,0.41319,0.84138,0.92673,0.88724,0.97202,0.78857,0.73916,0.55575,0.92458,0.000171752,0.000171752,0.000171752
77,4123.41,0.63056,0.42292,0.84509,0.93825,0.90256,0.97793,0.79444,0.73395,0.54979,0.92095,0.000165149,0.000165149,0.000165149
78,4176.46,0.61766,0.40361,0.83461,0.94647,0.90807,0.97779,0.78968,0.73666,0.53958,0.92152,0.000158546,0.000158546,0.000158546
79,4229.68,0.63783,0.40252,0.8405,0.93135,0.91305,0.96824,0.79043,0.73999,0.53909,0.92274,0.000151943,0.000151943,0.000151943
80,4282.63,0.62821,0.40706,0.83279,0.94147,0.90914,0.96024,0.77314,0.75476,0.55673,0.92516,0.000145339,0.000145339,0.000145339
81,4335.46,0.6186,0.40039,0.83684,0.94473,0.89932,0.95579,0.77675,0.75541,0.54853,0.92923,0.000138736,0.000138736,0.000138736
82,4388.61,0.6138,0.40378,0.83411,0.93282,0.91797,0.961,0.79176,0.73144,0.53052,0.92043,0.000132133,0.000132133,0.000132133
83,4441.8,0.60309,0.38894,0.83889,0.9509,0.90937,0.96266,0.79352,0.73588,0.54208,0.92385,0.000125529,0.000125529,0.000125529
84,4495,0.6194,0.39263,0.84189,0.95303,0.91543,0.96646,0.79191,0.72335,0.54111,0.9169,0.000118926,0.000118926,0.000118926
85,4548.17,0.6149,0.39654,0.83696,0.9479,0.91487,0.96896,0.78219,0.7507,0.54022,0.93459,0.000112323,0.000112323,0.000112323
86,4601.3,0.59932,0.37986,0.83312,0.94705,0.91872,0.96816,0.78059,0.74312,0.54611,0.92553,0.00010572,0.00010572,0.00010572
87,4654.58,0.61731,0.39944,0.84125,0.94505,0.91827,0.96673,0.78941,0.75309,0.55577,0.92924,9.91162e-05,9.91162e-05,9.91162e-05
88,4707.88,0.62093,0.39314,0.84268,0.90492,0.94155,0.96623,0.7942,0.73797,0.53676,0.9239,9.25129e-05,9.25129e-05,9.25129e-05
89,4761.09,0.60154,0.39163,0.83907,0.94941,0.91313,0.9687,0.79618,0.75307,0.54284,0.93276,8.59096e-05,8.59096e-05,8.59096e-05
