epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2643.96,0.714,0.52046,0.86439,0.90766,0.93515,0.94528,0.7591,0.76326,0.73643,0.92794,0.000396265,0.000396265,0.000396265
43,2703,0.69753,0.49204,0.85876,0.88444,0.94046,0.94139,0.7574,0.75035,0.72158,0.91892,0.000389661,0.000389661,0.000389661
44,2762.4,0.68859,0.4816,0.85971,0.90988,0.93128,0.94247,0.75382,0.76344,0.72027,0.92718,0.000383058,0.000383058,0.000383058
45,2821.91,0.6772,0.48563,0.85609,0.91546,0.92042,0.94182,0.75796,0.74884,0.73296,0.91739,0.000376455,0.000376455,0.000376455
46,2881.8,0.67333,0.47676,0.85539,0.92194,0.92434,0.95124,0.7628,0.75645,0.70335,0.92553,0.000369851,0.000369851,0.000369851
47,2942.11,0.67134,0.4856,0.85959,0.91199,0.92915,0.95552,0.75798,0.76974,0.72168,0.93153,0.000363248,0.000363248,0.000363248
48,3002.86,0.6796,0.48272,0.8519,0.91743,0.94602,0.957,0.76807,0.754,0.71336,0.92903,0.000356645,0.000356645,0.000356645
49,3064.07,0.67205,0.46678,0.85416,0.85892,0.96582,0.94862,0.75983,0.7828,0.70334,0.94173,0.000350042,0.000350042,0.000350042
50,3125.27,0.67576,0.46929,0.85585,0.90415,0.96631,0.95408,0.76267,0.78068,0.69526,0.93232,0.000343438,0.000343438,0.000343438
51,3186.35,0.67348,0.47724,0.85415,0.91755,0.96777,0.95722,0.77563,0.74089,0.68211,0.91479,0.000336835,0.000336835,0.000336835
52,3245.82,0.66267,0.47297,0.85672,0.92137,0.95532,0.9642,0.7859,0.75372,0.68975,0.92219,0.000330232,0.000330232,0.000330232
53,3305.27,0.67665,0.46004,0.85607,0.92501,0.94828,0.96126,0.76758,0.77969,0.69177,0.93688,0.000323628,0.000323628,0.000323628
