epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0581,1.15119,4.13822,1.00272,0.00815,0.5224,0.06367,0.03983,0.82952,3.99089,0.88043,0.00015,0.00015,0.00015
2,136.783,0.87289,2.42807,0.86313,0.0137,0.91071,0.17423,0.12638,0.86596,3.44574,0.90332,0.000306931,0.000306931,0.000306931
3,192.778,0.83281,1.70259,0.86957,0.01214,0.81765,0.29569,0.20876,0.88294,3.25402,0.92579,0.000460694,0.000460694,0.000460694
4,242.34,0.79812,1.31051,0.87433,0.86225,0.11251,0.41606,0.30638,0.87518,2.76305,0.96321,0.000611289,0.000611289,0.000611289
5,295.642,0.8079,1.15696,0.88011,0.84579,0.2095,0.46242,0.3388,0.88139,2.70104,1.00234,0.000758716,0.000758716,0.000758716
6,349.388,0.74937,0.95383,0.88232,0.47773,0.31771,0.46945,0.34226,0.86787,2.36154,1.04023,0.000902975,0.000902975,0.000902975
7,397.755,0.7303,0.89279,0.88086,0.83827,0.88136,0.91208,0.69473,0.8644,1.54179,1.05498,0.0009406,0.0009406,0.0009406
8,450.408,0.72952,0.78739,0.86749,0.92507,0.87298,0.9448,0.73372,0.85717,1.42593,1.04402,0.0009307,0.0009307,0.0009307
9,497.212,0.70967,0.72841,0.87629,0.80578,0.87564,0.88629,0.69963,0.84001,1.37144,1.0357,0.0009208,0.0009208,0.0009208
10,545.347,0.72206,0.70656,0.86784,0.78056,0.83527,0.92324,0.6931,0.90204,1.24447,1.09038,0.0009109,0.0009109,0.0009109
11,593.064,0.72211,0.67425,0.86528,0.95618,0.94167,0.97357,0.7767,0.82214,1.05749,1.02205,0.000901,0.000901,0.000901
12,639.046,0.71075,0.6594,0.86863,0.87799,0.92939,0.97015,0.77856,0.81532,1.11305,1.00003,0.0008911,0.0008911,0.0008911
13,691.156,0.71447,0.63032,0.86271,0.9325,0.90545,0.96769,0.76414,0.83566,0.99369,1.03597,0.0008812,0.0008812,0.0008812
14,742.805,0.72111,0.61244,0.86989,0.85201,0.94361,0.9528,0.75475,0.85095,1.0107,1.0424,0.0008713,0.0008713,0.0008713
15,797.046,0.6773,0.57549,0.86025,0.93602,0.95354,0.97109,0.77019,0.82816,0.92361,1.04819,0.0008614,0.0008614,0.0008614
16,855.665,0.6749,0.57433,0.85454,0.92838,0.95338,0.9685,0.77589,0.81296,0.88563,1.03419,0.0008515,0.0008515,0.0008515
17,913.525,0.6631,0.55048,0.85201,0.90144,0.96312,0.96757,0.76771,0.83252,0.9001,1.0482,0.0008416,0.0008416,0.0008416
18,965.013,0.66968,0.55485,0.85636,0.94194,0.94266,0.97164,0.77867,0.8347,0.86989,1.05257,0.0008317,0.0008317,0.0008317
19,1015.01,0.67726,0.55177,0.85335,0.95619,0.93508,0.97203,0.76467,0.87052,0.86423,1.08608,0.0008218,0.0008218,0.0008218
20,1064.04,0.6854,0.55096,0.85265,0.90719,0.95519,0.9533,0.76705,0.81349,0.88681,1.02524,0.0008119,0.0008119,0.0008119
21,1114.24,0.6781,0.55322,0.86021,0.93847,0.92496,0.97362,0.78827,0.80411,0.79078,1.01905,0.000802,0.000802,0.000802
22,1163.1,0.67015,0.53457,0.85599,0.94003,0.92869,0.98544,0.79343,0.78201,0.80451,1.00226,0.0007921,0.0007921,0.0007921
23,1213.01,0.6728,0.52716,0.85997,0.94871,0.95477,0.96494,0.77479,0.8054,0.82338,1.01623,0.0007822,0.0007822,0.0007822
24,1263.42,0.63528,0.50552,0.85031,0.93427,0.9544,0.97009,0.77632,0.80211,0.77724,1.01813,0.0007723,0.0007723,0.0007723
25,1314.34,0.66887,0.50859,0.85017,0.93804,0.95533,0.97156,0.77437,0.82727,0.79305,1.04686,0.0007624,0.0007624,0.0007624
26,1363.6,0.64912,0.47802,0.84616,0.94971,0.96215,0.97206,0.77699,0.80469,0.76481,1.02198,0.0007525,0.0007525,0.0007525
27,1412.35,0.65984,0.4959,0.85335,0.95477,0.9558,0.97143,0.78221,0.78514,0.74003,1.00713,0.0007426,0.0007426,0.0007426
28,1461.72,0.657,0.48745,0.85607,0.94789,0.94998,0.96438,0.76426,0.8205,0.76414,1.02702,0.0007327,0.0007327,0.0007327
29,1509.56,0.67487,0.48266,0.85508,0.94521,0.96542,0.9634,0.76266,0.83259,0.78614,1.04091,0.0007228,0.0007228,0.0007228
30,1558.15,0.65652,0.50162,0.85947,0.9075,0.96077,0.96458,0.77434,0.79286,0.76483,1.00153,0.0007129,0.0007129,0.0007129
31,1608.2,0.66041,0.47429,0.85143,0.92993,0.95661,0.9489,0.74869,0.82194,0.79136,1.02719,0.000703,0.000703,0.000703
32,1657.23,0.63673,0.46657,0.85287,0.95116,0.96294,0.97359,0.77758,0.78558,0.68342,1.00146,0.0006931,0.0006931,0.0006931
33,1703.91,0.66403,0.47487,0.84861,0.95331,0.97479,0.98014,0.77112,0.836,0.67529,1.02996,0.0006832,0.0006832,0.0006832
34,1750.39,0.63027,0.44921,0.84242,0.94553,0.97528,0.97344,0.78008,0.79153,0.6578,1.00024,0.0006733,0.0006733,0.0006733
35,1797.98,0.63828,0.44903,0.84453,0.93451,0.98364,0.9715,0.78228,0.79981,0.67435,1.01724,0.0006634,0.0006634,0.0006634
36,1846.22,0.63719,0.45344,0.85332,0.9263,0.97013,0.97084,0.7753,0.80495,0.68143,1.01958,0.0006535,0.0006535,0.0006535
37,1893.43,0.63043,0.4423,0.85054,0.94621,0.96121,0.97234,0.7839,0.77873,0.66951,0.99524,0.0006436,0.0006436,0.0006436
38,1941.11,0.64163,0.46171,0.85111,0.95195,0.95221,0.97196,0.77158,0.80947,0.66887,1.02011,0.0006337,0.0006337,0.0006337
39,1989.73,0.63997,0.43121,0.8477,0.95263,0.96501,0.96736,0.77404,0.8139,0.66311,1.03893,0.0006238,0.0006238,0.0006238
40,2037.82,0.66092,0.44121,0.85392,0.95229,0.95362,0.9678,0.77076,0.80155,0.68576,1.02127,0.0006139,0.0006139,0.0006139
41,2085.7,0.65321,0.43289,0.84323,0.94448,0.95291,0.97053,0.76344,0.81324,0.65047,1.03771,0.000604,0.000604,0.000604
42,2134.87,0.63764,0.4402,0.8479,0.93166,0.96943,0.97182,0.77872,0.79037,0.65537,1.01003,0.0005941,0.0005941,0.0005941
43,2184.02,0.65437,0.43601,0.8572,0.94589,0.9642,0.9783,0.77353,0.81058,0.62456,1.02709,0.0005842,0.0005842,0.0005842
44,2234.61,0.67005,0.42399,0.85088,0.94926,0.95207,0.97114,0.74539,0.87753,0.66345,1.05925,0.0005743,0.0005743,0.0005743
45,2284.31,0.66301,0.43526,0.85499,0.91712,0.9689,0.98738,0.78972,0.79208,0.61885,1.0129,0.0005644,0.0005644,0.0005644
46,2333.93,0.63366,0.42558,0.85508,0.92442,0.96677,0.96962,0.76954,0.87007,0.66223,1.07438,0.0005545,0.0005545,0.0005545
47,2383.65,0.62069,0.41702,0.85914,0.94339,0.96813,0.96764,0.78011,0.80302,0.62136,1.01729,0.0005446,0.0005446,0.0005446
48,2434.66,0.63177,0.4132,0.84349,0.94295,0.96755,0.97633,0.78186,0.79622,0.62427,1.02146,0.0005347,0.0005347,0.0005347
49,2485.44,0.63985,0.42204,0.85402,0.94871,0.97302,0.98202,0.76967,0.8065,0.5954,1.03382,0.0005248,0.0005248,0.0005248
50,2536.56,0.63882,0.41905,0.85151,0.95007,0.96807,0.98864,0.77651,0.82341,0.6278,1.03593,0.0005149,0.0005149,0.0005149
51,2586.2,0.60886,0.43391,0.84258,0.95667,0.97639,0.9786,0.79253,0.76924,0.56834,1.00185,0.000505,0.000505,0.000505
52,2637.32,0.64298,0.3999,0.8521,0.95547,0.96231,0.97978,0.78998,0.77103,0.59382,0.99648,0.0004951,0.0004951,0.0004951
53,2687.24,0.62524,0.42821,0.85102,0.94909,0.96718,0.98443,0.7743,0.79734,0.58546,1.01268,0.0004852,0.0004852,0.0004852
54,2735.88,0.6066,0.39939,0.84953,0.90428,0.96925,0.98033,0.78193,0.78752,0.59704,1.00736,0.0004753,0.0004753,0.0004753
55,2786.25,0.6288,0.42076,0.84025,0.9461,0.94888,0.97008,0.76386,0.81074,0.60798,1.03882,0.0004654,0.0004654,0.0004654
56,2836.01,0.62229,0.39853,0.84845,0.95077,0.9634,0.98112,0.77643,0.7745,0.56609,0.9983,0.0004555,0.0004555,0.0004555
57,2883.6,0.61796,0.3993,0.84199,0.94519,0.97071,0.98585,0.7856,0.78445,0.5991,1.00346,0.0004456,0.0004456,0.0004456
58,2934.27,0.63288,0.39028,0.84664,0.94803,0.95602,0.97429,0.77902,0.82689,0.61212,1.03218,0.0004357,0.0004357,0.0004357
59,2991.25,0.60407,0.39333,0.84574,0.93851,0.96666,0.96484,0.7728,0.76576,0.55928,0.99441,0.0004258,0.0004258,0.0004258
60,3044.09,0.60743,0.39313,0.84554,0.95276,0.95511,0.97113,0.76447,0.78848,0.56479,1.00127,0.0004159,0.0004159,0.0004159
61,3096.82,0.59618,0.37411,0.83777,0.9514,0.95714,0.97335,0.78219,0.78843,0.61352,1.00339,0.000406,0.000406,0.000406
62,3145.94,0.629,0.38139,0.84871,0.95039,0.9527,0.9739,0.78288,0.77804,0.57466,0.99824,0.0003961,0.0003961,0.0003961
63,3192.11,0.60901,0.38741,0.84757,0.95167,0.95735,0.96233,0.76589,0.79022,0.57329,1.0066,0.0003862,0.0003862,0.0003862
