epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.035,1.06812,4.23438,1.06247,0.0011,0.09286,0.00373,0.0025,0.75209,4.41733,0.91881,6e-05,6e-05,6e-05
2,77.554,0.76586,3.75255,0.90268,0.00884,0.3748,0.07808,0.0569,0.73892,4.18743,0.84553,0.000128713,0.000128713,0.000128713
3,114.723,0.80772,2.83609,0.88954,0.0173,0.65,0.32325,0.21493,0.88628,3.79782,0.86946,0.00019604,0.00019604,0.00019604
4,141.256,0.80031,2.44248,0.88176,0.01711,0.65,0.33675,0.22442,0.78646,3.6505,0.84954,0.000261981,0.000261981,0.000261981
5,166.643,0.73196,2.07406,0.87287,0.5,0.04764,0.31137,0.2116,0.85767,3.54738,0.87003,0.000326536,0.000326536,0.000326536
6,191.669,0.74133,1.91678,0.8918,1,0.03598,0.34933,0.24743,0.79427,3.4213,0.87372,0.000389705,0.000389705,0.000389705
7,216.728,0.74924,1.67989,0.88065,0.30925,0.54107,0.45508,0.34316,0.78805,3.3031,0.85593,0.000451488,0.000451488,0.000451488
8,242.811,0.69847,1.41991,0.86587,0.99679,0.29412,0.5063,0.37159,0.78782,3.15463,0.86296,0.000511885,0.000511885,0.000511885
9,265.437,0.67572,1.34917,0.87823,0.73242,0.17811,0.52238,0.3951,0.7541,3.05218,0.85446,0.000570896,0.000570896,0.000570896
10,286.316,0.66857,1.29853,0.8734,0.75,0.19343,0.59489,0.46108,0.76942,2.82363,0.87979,0.000628521,0.000628521,0.000628521
11,305.618,0.65381,1.11745,0.8758,0.75,0.16908,0.64594,0.49687,0.78996,2.8665,0.86842,0.00068476,0.00068476,0.00068476
12,322.984,0.65996,1.0031,0.86551,0.78386,0.62339,0.68014,0.53589,0.81316,2.45968,0.88651,0.000739613,0.000739613,0.000739613
13,340.674,0.69972,1.0272,0.89007,0.79705,0.68421,0.67525,0.53501,0.78955,2.51357,0.88136,0.00079308,0.00079308,0.00079308
14,358.064,0.64457,0.96178,0.86803,0.97874,0.38164,0.7799,0.64069,0.74402,2.52456,0.87045,0.000845161,0.000845161,0.000845161
15,375.988,0.66513,0.91566,0.88073,0.85607,0.75,0.94262,0.77839,0.77663,1.80529,0.90948,0.0008614,0.0008614,0.0008614
16,394.928,0.6468,0.88185,0.8626,0.85827,0.74411,0.96337,0.81297,0.7846,1.8356,0.90793,0.0008515,0.0008515,0.0008515
17,414.208,0.6729,0.90497,0.87699,0.78516,0.81946,0.96556,0.82047,0.77002,2.00294,0.90809,0.0008416,0.0008416,0.0008416
18,433.618,0.63265,0.81632,0.86401,0.92741,0.80313,0.96768,0.82532,0.79027,1.66885,0.93807,0.0008317,0.0008317,0.0008317
19,453.462,0.62114,0.79993,0.87143,0.8258,0.85,0.95766,0.82851,0.755,1.36106,0.91365,0.0008218,0.0008218,0.0008218
20,473.425,0.65613,0.80093,0.86954,0.87835,0.85679,0.9599,0.80921,0.74971,1.50537,0.92138,0.0008119,0.0008119,0.0008119
21,492.838,0.62784,0.79523,0.88444,0.82683,0.92909,0.95889,0.82689,0.76116,1.65534,0.93913,0.000802,0.000802,0.000802
22,512.178,0.62023,0.78776,0.86434,0.83572,0.96698,0.96807,0.82716,0.74759,1.38429,0.93747,0.0007921,0.0007921,0.0007921
23,530.693,0.60823,0.76866,0.87371,0.88334,0.95443,0.98786,0.81768,0.75311,1.08279,0.93014,0.0007822,0.0007822,0.0007822
24,550.392,0.62399,0.77576,0.88424,0.8759,0.94636,0.99083,0.83551,0.74517,1.08568,0.92199,0.0007723,0.0007723,0.0007723
25,568.427,0.64916,0.78319,0.90171,0.8747,0.90093,0.98608,0.83365,0.72792,1.08707,0.91463,0.0007624,0.0007624,0.0007624
26,586.097,0.6117,0.77775,0.86933,0.91086,0.86555,0.98364,0.82663,0.74353,1.02302,0.9274,0.0007525,0.0007525,0.0007525
27,604.037,0.60922,0.69946,0.86599,0.87827,0.8899,0.97701,0.8232,0.70262,1.05696,0.92287,0.0007426,0.0007426,0.0007426
28,622.346,0.59922,0.7054,0.86592,0.92417,0.88892,0.97559,0.84924,0.7283,1.03289,0.92111,0.0007327,0.0007327,0.0007327
29,640.251,0.60361,0.69648,0.87209,0.81521,0.88901,0.98136,0.86533,0.72433,1.05256,0.9171,0.0007228,0.0007228,0.0007228
30,658.82,0.62344,0.71388,0.87083,0.91899,0.85023,0.99273,0.85557,0.71984,0.98269,0.91047,0.0007129,0.0007129,0.0007129
31,677.99,0.5933,0.66997,0.87607,0.91254,0.90756,0.98536,0.8501,0.72637,0.98383,0.90467,0.000703,0.000703,0.000703
32,696.735,0.5993,0.71524,0.86725,0.89663,0.92388,0.97033,0.82596,0.70512,0.91715,0.90701,0.0006931,0.0006931,0.0006931
33,715.963,0.60233,0.69057,0.87526,0.88491,0.90075,0.97033,0.82324,0.71623,0.94445,0.91323,0.0006832,0.0006832,0.0006832
34,734.952,0.58179,0.66282,0.86214,0.91035,0.91662,0.97855,0.85256,0.70537,0.99926,0.90962,0.0006733,0.0006733,0.0006733
35,753.692,0.58756,0.70848,0.87771,0.9007,0.925,0.97373,0.85693,0.68646,0.9645,0.9039,0.0006634,0.0006634,0.0006634
36,773.156,0.60299,0.62268,0.86385,0.90817,0.93107,0.97918,0.8557,0.71066,0.88121,0.90654,0.0006535,0.0006535,0.0006535
37,792.241,0.58664,0.67343,0.87136,0.90733,0.94816,0.98923,0.85916,0.73043,0.88069,0.91159,0.0006436,0.0006436,0.0006436
38,811.426,0.57553,0.60958,0.86847,0.87805,0.90096,0.98465,0.85559,0.74478,0.88745,0.92196,0.0006337,0.0006337,0.0006337
39,829.739,0.5864,0.6681,0.86368,0.83994,0.975,0.98287,0.82919,0.73989,0.88785,0.93117,0.0006238,0.0006238,0.0006238
40,848.147,0.57691,0.61907,0.86124,0.8688,0.97155,0.98458,0.82885,0.76448,0.88509,0.95723,0.0006139,0.0006139,0.0006139
41,866.642,0.5783,0.61491,0.86541,0.92877,0.87302,0.98111,0.82944,0.74839,0.92231,0.94727,0.000604,0.000604,0.000604
42,885.623,0.59159,0.63798,0.87185,0.91966,0.89545,0.97529,0.83551,0.70327,0.88197,0.91477,0.0005941,0.0005941,0.0005941
43,902.991,0.58723,0.6232,0.85252,0.92466,0.9711,0.97232,0.86485,0.70193,0.84324,0.9149,0.0005842,0.0005842,0.0005842
44,920.666,0.57531,0.5813,0.86199,0.93056,0.975,0.97516,0.82001,0.75518,0.82388,0.9301,0.0005743,0.0005743,0.0005743
45,938.888,0.56846,0.61379,0.85786,0.97291,0.90952,0.97658,0.81192,0.75131,0.83032,0.91996,0.0005644,0.0005644,0.0005644
46,957.185,0.56635,0.56329,0.85305,0.97795,0.90249,0.9825,0.84414,0.71849,0.79407,0.90595,0.0005545,0.0005545,0.0005545
47,977.06,0.57788,0.62754,0.8649,0.9453,0.89381,0.9825,0.83433,0.73906,0.80701,0.91919,0.0005446,0.0005446,0.0005446
48,995.545,0.57949,0.56934,0.85502,0.92126,0.96624,0.9819,0.82564,0.73581,0.80989,0.91226,0.0005347,0.0005347,0.0005347
49,1014.12,0.55882,0.58065,0.86429,0.93986,0.96535,0.98136,0.83958,0.71772,0.79398,0.90377,0.0005248,0.0005248,0.0005248
50,1032.63,0.55351,0.59482,0.84871,0.95013,0.95153,0.98136,0.84331,0.70792,0.80915,0.90763,0.0005149,0.0005149,0.0005149
51,1051.89,0.5641,0.57049,0.85281,0.93056,0.97073,0.98087,0.82299,0.73937,0.80313,0.92232,0.000505,0.000505,0.000505
52,1071.67,0.54252,0.5417,0.85194,0.91713,0.95401,0.98042,0.82636,0.74387,0.79655,0.9233,0.0004951,0.0004951,0.0004951
53,1090.72,0.57386,0.55888,0.85805,0.90415,0.95348,0.97926,0.83867,0.73135,0.79299,0.91817,0.0004852,0.0004852,0.0004852
54,1110.2,0.58773,0.58045,0.85314,0.88534,0.95599,0.98562,0.86904,0.71616,0.79883,0.91523,0.0004753,0.0004753,0.0004753
55,1128.27,0.56604,0.58935,0.87732,0.95402,0.96108,0.98857,0.86644,0.71194,0.75315,0.91612,0.0004654,0.0004654,0.0004654
56,1146.15,0.55651,0.55319,0.86223,0.92565,0.975,0.98601,0.8414,0.68639,0.73193,0.90174,0.0004555,0.0004555,0.0004555
57,1163.87,0.55495,0.52499,0.85055,0.90356,0.975,0.98073,0.86998,0.68478,0.73185,0.89993,0.0004456,0.0004456,0.0004456
